size,ip,lat,lon,url,customer,address,phone,customer2,address2,phone2,iframe
2,206.19.210.93,39.7589,-84.1916,https://www.shodan.io/host/206.19.210.93,Dayton Power and Light,"1900 Dryden Rd, Moraine, OH 45439",(937) 331-4225,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13108.932872526953!2d-84.22533427869902!3d39.73105774801721!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x884086eed6dc2a49%3A0x5cf7775616cc552d!2sDayton+Power+and+Light!5e0!3m2!1sen!2sus!4v1486875481664"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,108.58.169.50,40.6565,-73.6093,https://www.shodan.io/host/108.58.169.50,United Electric Power,"270 Park Ave, New Hyde Park, NY 11040",(516) 812-6800,Reliable Power Alternatives,"400 Garden City Plaza, Garden City, NY 11530",(516) 228-8000,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3023.031104928006!2d-73.65713038459424!3d40.73934107932892!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c262ad23300c97%3A0xa0b7605cb64491ec!2sUnited+Electric+Power!5e0!3m2!1sen!2sus!4v1486875849239"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.143.143.154,38.5224,-77.2897,https://www.shodan.io/host/166.143.143.154,Dominion Virginia Power,"1901 Reddy Dr, Woodbridge, VA 22191",(866) 366-4357,Birchwood Power Facility,"10900 Birchwood Dr, King George, VA 22485",(540) 775-5637,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7682.894659960375!2d-77.42308939997015!3d38.92291870620095!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89b646514da724f9%3A0xdc17031191a01503!2sDominion+Virginia+Power!5e0!3m2!1sen!2sus!4v1486877376782"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.151.7.191,32.7831,-96.8067,https://www.shodan.io/host/166.151.7.191,American Electric Power Co,"Renaissance Tower, 1201 Elm St, Dallas, TX 75270",(877) 373-4858,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3105.2941620126026!2d-77.02569518449522!3d38.89438797957105!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89b7b79abd8f1851%3A0x266fc6b0e8eb6b92!2sAmerican+Electric+Power+Co!5e0!3m2!1sen!2sus!4v1486877399279"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,173.220.152.146,40.8044,-73.641,https://www.shodan.io/host/173.220.152.146,Reliable Power Alternatives Corporation,"400 Garden City Plaza, Garden City, NY 11530",(516) 228-8000,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3023.1571397004604!2d-73.61935248444384!3d40.73656767932937!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c27d79a19feecf%3A0xcc1154d6716695ec!2sReliable+Power+Alternatives+Corporation!5e0!3m2!1sen!2sus!4v1486877416610"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,206.19.236.60,32.9628,-96.7449,https://www.shodan.io/host/206.19.236.60,Richardson Water & Sewer Department,"1260 Columbia Dr, Richardson, TX 75081",(972) 744-4111,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3347.657470934606!2d-96.73369188464675!3d32.96005168091708!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864c1f6c7f55f4c9%3A0xdc211eea7fa64983!2sRichardson+Water+Department!5e0!3m2!1sen!2sus!4v1486877432930"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.142.141.175,32.3003,-81.86644,https://www.shodan.io/host/166.142.141.175,Georgia Power,"305 S Main St, Statesboro, GA 30458",(888) 655-5888,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7769.0068890910015!2d-84.31675206573556!3d33.888040264574634!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88f509aa953a63eb%3A0x4dbea405144a3ec9!2sGeorgia+Power!5e0!3m2!1sen!2sus!4v1486877458982"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.251.70.183,30.7838,-92.4254,https://www.shodan.io/host/166.251.70.183,North America Power Resoures,"Turkey Creek, LA 70585",(337) 461-5209,Cleco Power,"15853 Lake Charles Hwy, Leesville, LA 71446",(800) 622-6537,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3424.2395055310567!2d-92.41132708469462!3d30.87996028158608!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x86252a6f25555555%3A0x4cf3d64edcfa4338!2sNorth+America+Power+Resources!5e0!3m2!1sen!2sus!4v1486877473775"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.130.117.131,40.3325,-75.1166,https://www.shodan.io/host/166.130.117.131,Doylestown Airport,"3879 Old Easton Rd, Doylestown, PA 18902",(215) 345-1970,Winco Fluid Power,"4030 Skyron Dr, Doylestown, PA 18902",(215) 657-4940,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3041.418702218742!2d-75.12441168445534!3d40.333056879374894!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c40292f3246add%3A0xcae14e060c1ac455!2sDoylestown+Airport!5e0!3m2!1sen!2sus!4v1486877494737"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,47.21.84.76,40.7641,-73.519,https://www.shodan.io/host/47.21.84.76,Applied Power Systems,"124 Charlotte Ave, Hicksville, NY 11801",(516) 935-2230,"Power Management Concepts, LLC","510 Grumman Rd W, Bethpage, NY 11714",(516) 465-0188,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3022.0648136996188!2d-73.55194898444326!3d40.76059917932655!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c280cf8b310ba3%3A0xd8e9d1568c79da07!2sApplied+Power+Systems+Inc!5e0!3m2!1sen!2sus!4v1486877517289"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.159.63.47,29.7633,-95.3633,https://www.shodan.io/host/166.159.63.47,Star Tex Power,"1221 Lamar St # 750, Houston, TX 77010",(713) 357-2800,Pennywise Power,"1201 Fannin St, Houston, TX 77002",(877) 455-4674,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3463.7778236423364!2d-95.36545438471934!3d29.755142581988437!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640bf3cbb241087%3A0x11891247262d88fb!2sStar+Tex+Power!5e0!3m2!1sen!2sus!4v1486877533218"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.239.205.68,33.8303,-116.5453,https://www.shodan.io/host/166.239.205.68,"Mohr Power Solar, Inc.","1452 Pomona Rd, Corona, CA 92882",(951) 736-2000,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3312.2905697508495!2d-117.59559708462464!3d33.88216968065253!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80dcc858d404845d%3A0x7dcac78308ccd893!2sMohr+Power+Solar+Inc.!5e0!3m2!1sen!2sus!4v1486877552196"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.255.63.114,40.6675,-74.6556,https://www.shodan.io/host/166.255.63.114,"Mitsubishi Hitachi Power Systems Americas, Inc.","645 Martinsville Rd, Basking Ridge, NJ 07920",(908) 605-2800,Clinton Water Treatment Services,"143 Leigh St, Clinton, NJ 08809",(908) 236-6359,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d23849.121909602654!2d-81.36050686833356!3d28.79760297075605!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88e70d43101cbe41%3A0x4b05c2e51999e3e!2sMitsubishi+Hitachi+Power+Systems+Americas%2C+Inc.!5e0!3m2!1sen!2sus!4v1486877576692"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.251.70.56,34.9706,-96.7282,https://www.shodan.io/host/166.251.70.56,Oklahoma City Water & Waste,"2701 NE 4th St, Oklahoma City, OK 73117",(405) 297-2833,No secondary customer,N/A,N/A,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.321481841541!2d-97.46601678458529!3d35.471588980243695!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x87b217b6c508d49b%3A0xcb23bba0a297148d!2sOklahoma+City+Water+%26+Waste!5e0!3m2!1sen!2sus!4v1486877592520"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,166.149.195.51,34.3219,-91.8461,https://www.shodan.io/host/166.149.195.51,Liberty Utility Co.,"1100 S State St, Pine Bluff, AR 71601",(855) 382-6508,"Stockton Power Equipment, Inc.","1001 Rock St, Sheridan, AR 72150",(870) 942-2312,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2451.6840037661837!2d-92.0041723845737!3d34.218478023479946!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x862d3ca46de159bd%3A0xe03d85ba6c37a786!2sLiberty+Utilities+Co!5e0!3m2!1sen!2sus!4v1486877624685"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
2,96.57.176.74,40.8529,-73.2095,https://www.shodan.io/host/96.57.176.74,Long Island Power Solutions,"3122 Express Dr S, Islandia, NY 11749",(631) 348-0001,"Cool Power, LLC","10 Newton Pl, Hauppauge, NY 11788",(631) 360-2665,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3019.898941344974!2d-73.18280828444183!3d40.80821447932162!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89e8363684a05a35%3A0x421a6a277832b45a!2sLong+Island+Power+Solutions!5e0!3m2!1sen!2sus!4v1486877638029"" width=""400"" height=""300"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
